Procediment_dadjudicacio,Tipus_de_contracte,Adjudicatari,CPV_Descripcion,Duracion_total
True,1.0986122886681098,0.0001991701251397301,0.5041838697028854,0.0
True,1.0986122886681098,0.00016597785893470777,0.5041838697028854,0.0
True,1.0986122886681098,0.00016597785893470777,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.5041838697028854,0.0
True,0.6931471805599453,0.0001991701251397301,0.00016597785893470777,5.902633333401366
True,0.6931471805599453,6.639444944841828e-05,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.001061782567069896,0.6931471805599453
True,0.6931471805599453,6.639444944841828e-05,0.5041838697028854,0.0
True,1.3862943611198906,0.0001327844909665795,0.5041838697028854,0.0
True,0.6931471805599453,0.00016597785893470777,0.5041838697028854,0.0
True,1.0986122886681098,0.0001327844909665795,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.5041838697028854,0.0
True,1.0986122886681098,0.00023236128965478412,0.5041838697028854,0.0
True,0.6931471805599453,0.000597391408692534,0.5041838697028854,0.0
True,1.0986122886681098,9.959002116220037e-05,0.0037113171368591733,3.4339872044851463
True,1.0986122886681098,3.319777575207374e-05,0.5041838697028854,0.0
True,0.6931471805599453,0.0004978509537104654,3.319777575207374e-05,5.902633333401366
True,1.0986122886681098,0.00026555135255300013,0.5041838697028854,0.0
True,0.6931471805599453,9.959002116220037e-05,0.5041838697028854,0.0
True,0.6931471805599453,0.0001327844909665795,0.5041838697028854,0.0
True,1.0986122886681098,0.0001327844909665795,0.5041838697028854,0.0
True,1.0986122886681098,0.0001327844909665795,0.5041838697028854,0.0
True,0.6931471805599453,0.0001327844909665795,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.5041838697028854,0.0
True,0.6931471805599453,3.319777575207374e-05,0.014501605393408591,0.6931471805599453
True,1.0986122886681098,0.0001327844909665795,0.5041838697028854,0.0
False,1.0986122886681098,0.0001327844909665795,3.319777575207374e-05,5.017279836814924
True,1.0986122886681098,0.008034827559881799,0.5041838697028854,0.0
