CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
24453000-4;Herbicidas;Suministros
24454000-1;Reguladores del crecimiento de las plantas;Suministros
24455000-8;Desinfectantes;Suministros
24456000-5;Rodenticidas;Suministros
24457000-2;Fungicidas;Suministros
24541000-8;Polimeros de acetato de vinilo en formas primarias;Suministros
24542000-5;Polimeros acrilicos en formas primarias;Suministros
24611000-0;Polvoras de carga de proyeccion;Suministros
24611100-1;Propergoles, combustibles;Suministros
24612000-7;Explosivos diversos;Suministros
24612100-8;Dinamita;Suministros
24612200-9;TNT;Suministros
24612300-0;Nitroglicerina;Suministros
24613000-4;Cohetes de se?ales, cohetes granifugos, se?ales para la niebla y articulos de pirotecnia;Suministros
24613100-5;Cartuchos para espantar pajaros;Suministros
24613200-6;Fuegos artificiales;Suministros
24615000-8;Mechas, capsulas, inflamadores y detonadores electricos;Suministros
24911000-3;Gelatinas;Suministros
24911200-5;Adhesivos;Suministros
24931000-9;Placas y peliculas fotograficas;Suministros
24931200-1;Emulsiones para uso fotografico;Suministros
24931210-4;Reveladores fotograficos;Suministros
24931220-7;Fijadores fotograficos;Suministros
24931230-0;Reveladores para radiografias;Suministros
24931240-3;Fijadores para radiografias;Suministros
24931250-6;Medios de cultivo;Suministros
24931260-9;Intensificadores de imagen;Suministros
24951000-5;Grasas y lubricantes;Suministros
24951100-6;Lubricantes;Suministros
24951110-9;Lodo de perforacion;Suministros
24951120-2;Grasa de silicio;Suministros
24951130-5;Fluidos de perforacion;Suministros
24951200-7;Aditivos para aceites;Suministros
24951210-0;Polvo para extintores de incendios;Suministros
24951220-3;Agentes para extintores de incendios;Suministros
24951230-6;Cargas para extintores de incendios;Suministros
24951300-8;Fluidos hidraulicos;Suministros
24951310-1;Agentes para descongelar;Suministros
24951311-8;Preparaciones anticongelantes;Suministros
24951400-9;Grasas y aceites quimicamente modificados;Suministros
24952000-2;Pastas para modelar;Suministros
24952100-3;Cera dental;Suministros
24953000-9;Agentes de acabado;Suministros
24954000-6;Carbon activado;Suministros
24954100-7;Carbon activado nuevo;Suministros
24954200-8;Carbon activado regenerado;Suministros
24955000-3;Recipientes inodoros de sustancias quimicas;Suministros
24956000-0;Peptonas y sustancias proteicas;Suministros
24957000-7;Aditivos quimicos;Suministros
24957100-8;Preparaciones aglutinantes para moldes o nucleos de fundicion;Suministros
24957200-9;Aditivos para cemento, mortero u hormigon;Suministros
24958000-4;Productos quimicos para la industria del petroleo y del gas;Suministros
24958100-5;Productos quimicos para fondo de pozo;Suministros
24958200-6;Agentes floculantes;Suministros
24958300-7;Productos quimicos para lodos;Suministros
24958400-8;Ampollas de gel para atraque de explosivos;Suministros
24959000-1;Aerosoles y productos quimicos en forma de disco;Suministros
24959100-2;Aerosoles;Suministros
24959200-3;Elementos quimicos en forma de disco;Suministros
24961000-8;Fluidos para radiador;Suministros
24962000-5;Productos quimicos para tratamiento del agua;Suministros
24963000-2;Productos anticorrosion;Suministros
24964000-9;Glicerol;Suministros
24965000-6;Enzimas;Suministros
30111000-0;Procesadores de texto;Suministros
30121000-3;Fotocopiadoras y aparatos termocopiadores;Suministros
30121100-4;Fotocopiadoras;Suministros
30121200-5;Equipo de fotocopiado;Suministros
30121300-6;Equipo de reproduccion;Suministros
30121400-7;Maquinas de sacar copias;Suministros
30121410-0;Conmutadores telefono-fax;Suministros
30121420-3;Escaneres digitales con sistema de envio;Suministros
30121430-6;Duplicadores digitales;Suministros
30122000-0;Impresoras offset del tipo de las de oficina;Suministros
30122100-1;Sistemas de impresion offset digital;Suministros
30122200-2;Equipos de impresion offset digital;Suministros
30123000-7;Maquinas de oficina;Suministros
30123100-8;Maquinas para validacion de billetes;Suministros
30123200-9;Cajeros automaticos;Suministros
30123300-0;Multicopistas;Suministros
30123400-1;Maquinas de plegado;Suministros
30123500-2;Perforadoras;Suministros
30123600-3;Maquinas para la manipulacion de monedas;Suministros
30123610-6;Maquinas para clasificar monedas;Suministros
30123620-9;Maquinas para contar monedas;Suministros
30123630-2;Maquinas para empaquetar monedas;Suministros
30124000-4;Partes y accesorios de maquinas de oficina;Suministros
30124100-5;Fusores;Suministros
30124110-8;Aceite para fusores;Suministros
30124120-1;Fieltro limpiador del fusor;Suministros
30124130-4;Lamparas del fusor;Suministros
30124140-7;Almohadilla de limpieza del fusor;Suministros
30124150-0;Filtros de fusor;Suministros
30124200-6;Kits del fusor;Suministros
30124300-7;Tambores de maquinas de oficina;Suministros
30124400-8;Cartuchos de grapas;Suministros
30124500-9;Accesorios para escaner;Suministros
30124510-2;Endosadores para escaner;Suministros
30124520-5;Alimentadores de documentos para escaner;Suministros
30124530-8;Adaptadores de transparencias para escaner;Suministros
30125000-1;Partes y accesorios de fotocopiadoras;Suministros
30125100-2;Cartuchos de toner;Suministros
30125110-5;Toner para faxes e impresoras laser;Suministros
30125120-8;Toner para fotocopiadoras;Suministros
30125130-1;Toner para centros de proceso de datos y centros de investigacion y documentacion;Suministros
30131000-6;Equipo para procesamiento de correspondencia;Suministros
30131100-7;Maquinas para doblado de papel o sobres;Suministros
30131200-8;Maquinas para rellenado de sobres;Suministros
30131300-9;Maquinas para impresion de direcciones;Suministros
30131400-0;Maquinas para franqueo;Suministros
30131500-1;Maquinas abrecartas;Suministros
30131600-2;Maquinas para cerrar el correo;Suministros
30131700-3;Maquinas de matasellar;Suministros
30131800-4;Maquinas pegadoras de sellos;Suministros
30132000-3;Equipo para clasificacion;Suministros
30132100-4;Equipo para clasificacion de correspondencia;Suministros
30132200-5;Maquinas contadoras de billetes;Suministros
30132300-6;Clasificadoras;Suministros
30133000-0;Equipo para envio de correspondencia;Suministros
30133100-1;Equipo para el envio de correspondencia en grandes cantidades;Suministros
30141000-9;Maquinas de calcular;Suministros
30141100-0;Calculadoras de bolsillo;Suministros
30141200-1;Calculadoras de oficina;Suministros
30141300-2;Calculadoras impresoras;Suministros
30141400-3;Sumadoras;Suministros
30142000-6;Maquinas de contabilidad y cajas registradoras;Suministros
30142100-7;Maquinas de contabilidad;Suministros
30142200-8;Cajas registradoras;Suministros
30144000-0;Maquinas del tipo de las de calcular;Suministros
30144100-1;Maquinas de franquear;Suministros
30144200-2;Maquinas expendedoras de billetes;Suministros
30144300-3;Maquinas para contar vehiculos;Suministros
30144400-4;Sistema de cobro automatico;Suministros
30145000-7;Partes y accesorios de maquinas de calcular;Suministros
30145100-8;Rollos de papel para calculadoras;Suministros
30151000-2;Maquinas de escribir electronicas;Suministros
30152000-9;Partes y accesorios de maquinas de escribir;Suministros
30161000-5;Tarjetas de credito;Suministros
30162000-2;Tarjetas inteligentes;Suministros
30163000-9;Tarjetas de debito;Suministros
30163100-0;Tarjetas para la compra de carburante;Suministros
30171000-8;Fechadores y numeradores;Suministros
30172000-5;Maquinas para la impresion de tarjetas de identificacion;Suministros
30173000-2;Maquinas para la colocacion de etiquetas;Suministros
30174000-9;Maquinas para la elaboracion de etiquetas;Suministros
30175000-6;Equipos de rotulacion;Suministros
30176000-3;Rotuladoras manuales de cinta;Suministros
30177000-0;Sistemas automaticos de etiquetado;Suministros
30178000-7;Sistemas semiautomaticos de etiquetado;Suministros
30179000-4;Dispensadores de etiquetas;Suministros
30181000-1;Endosadores de cheques;Suministros
30182000-8;Maquinas de escribir cheques;Suministros
30191000-4;Equipos de oficina excepto mobiliario;Suministros
30191100-5;Equipo de archivo;Suministros
30191110-8;Sistemas carrusel para clasificacion de tarjetas;Suministros
30191120-1;Revisteros;Suministros
30191130-4;Portablocs de pinza;Suministros
30191140-7;Accesorios para credenciales de identificacion;Suministros
30191200-6;Retroproyectores;Suministros
30191400-8;Maquinas destructoras de documentos;Suministros
30192000-1;Articulos de oficina;Suministros
30192100-2;Gomas de borrar;Suministros
30192110-5;Productos de tinta;Suministros
30192111-2;Tampones;Suministros
30192112-9;Tinta para impresoras;Suministros
30192113-6;Cartuchos de tinta;Suministros
30192121-5;Boligrafos;Suministros
30192122-2;Plumas estilograficas;Suministros
30192123-9;Rotuladores con punta fibrosa;Suministros
30192124-6;Rotuladores;Suministros
30192125-3;Marcadores;Suministros
30192126-0;Rotuladores tecnicos;Suministros
30192127-7;Portaplumas;Suministros
30192130-1;Lapices;Suministros
30192131-8;Portaminas;Suministros
30192132-5;Minas para lapices y portaminas;Suministros
30192133-2;Sacapuntas;Suministros
30192134-9;Portalapices;Suministros
30192150-7;Sellos de fecha;Suministros
30192151-4;Sellos para lacrar;Suministros
30192152-1;Sellos numeradores;Suministros
30192153-8;Sellos de texto;Suministros
30192154-5;Almohadillas de recambio para tampones de tinta;Suministros
30192155-2;Portasellos;Suministros
30192160-0;Correctores;Suministros
30192170-3;Tableros de anuncios para oficina;Suministros
30192200-3;Cintas metricas;Suministros
30192300-4;Cintas entintadas;Suministros
30192310-7;Cintas para maquinas de escribir;Suministros
30192320-0;Cintas de impresora;Suministros
30192330-3;Rodillos y cintas para calculadoras;Suministros
30192340-6;Cintas termicas para faxes;Suministros
30192350-9;Cintas para cajas registradoras;Suministros
30192400-5;Material de reprografia;Suministros
30192500-6;Transparencias para retroproyectores;Suministros
30192600-7;Tableros de dibujo;Suministros
30192700-8;Papeleria;Suministros
30192800-9;Etiquetas autoadhesivas;Suministros
30192900-0;Sistemas de correccion;Suministros
30192910-3;Cinta o pelicula correctora;Suministros
30192920-6;Liquidos correctores;Suministros
30192930-9;Lapices correctores;Suministros
30192940-2;Recambios para correctores;Suministros
30192950-5;Borradores electricos;Suministros
30193000-8;Organizadores de despacho y accesorios;Suministros
30193100-9;Cajas para organizar documentos;Suministros
30193200-0;Bandejas para organizar documentos;Suministros
30193300-1;Organizadores colgantes;Suministros
30193400-2;Sujetalibros;Suministros
30193500-3;Estante expositor;Suministros
30193600-4;Soportes para agendas y calendarios;Suministros
30193700-5;Cajas archivadoras;Suministros
30193800-6;Portamensajes;Suministros
30193900-7;Portacopias;Suministros
30194000-5;Articulos de dibujo;Suministros
30194100-6;Plantillas para curvas;Suministros
30194200-7;Puntos, cintas y peliculas para dise?o;Suministros
30194210-0;Puntos o cintas de dise?o;Suministros
30194220-3;Peliculas (laminas) de dise?o;Suministros
30194300-8;Juegos, estuches y papeles para dise?o;Suministros
30194310-1;Juegos o estuches para dise?o;Suministros
30194320-4;Papeles para dise?o;Suministros
30194400-9;Cubiertas de mesas de dibujo;Suministros
30194500-0;Articulos para rotulacion;Suministros
30194600-1;Transportadores de angulos;Suministros
30194700-2;Plantillas;Suministros
30194800-3;Reglas en T y cartabones;Suministros
30194810-6;Reglas en T;Suministros
30194820-9;Cartabones;Suministros
30194900-4;Cubiertas de proteccion de superficies de trabajo;Suministros
30195000-2;Tableros;Suministros
30195100-3;Tableros de planificacion o accesorios;Suministros
30195200-4;Tableros electronicos o accesorios;Suministros
30195300-5;Paneles de letras o accesorios;Suministros
30195400-6;Pizarras de borrado en seco o accesorios;Suministros
30195500-7;Pizarras o accesorios;Suministros
30195600-8;Tablones de anuncios o accesorios;Suministros
30195700-9;Equipos o accesorios para limpieza de pizarras y tableros;Suministros
30195800-0;Rieles y soportes colgantes;Suministros
30195900-1;Pizarras blancas y pizarras magneticas;Suministros
30195910-4;Tableros blancos;Suministros
30195911-1;Accesorios para pizarras blancas;Suministros
30195912-8;Caballetes para pizarras blancas;Suministros
30195913-5;Caballetes para rotafolios;Suministros
30195920-7;Pizarras magneticas;Suministros
30195921-4;Borradores para pizarras magneticas;Suministros
30196000-9;Planificadores;Suministros
30196100-0;Planificadores de reuniones;Suministros
30196200-1;Dietarios, agendas y sus recambios;Suministros
30196300-2;Buzon de sugerencias;Suministros
30197000-6;Material de oficina de peque?a envergadura;Suministros
30197100-7;Grapas, chinchetas y alfileres;Suministros
30197110-0;Grapas;Suministros
30197120-3;Tachuelas;Suministros
30197130-6;Chinchetas;Suministros
30197200-8;Carpetas de anillas y clips para papeles;Suministros
30197210-1;Carpetas de anillas;Suministros
30197220-4;Clips para papeles;Suministros
30197221-1;Portaclips;Suministros
30197300-9;Abrecartas, grapadoras y perforadoras de papel;Suministros
30197310-2;Abrecartas;Suministros
30197320-5;Grapadoras;Suministros
30197321-2;Quitagrapas;Suministros
30197330-8;Perforadoras de papel;Suministros
30197400-0;Esponja para sellos;Suministros
30197500-1;Cera de lacrado;Suministros
30197510-4;Accesorios para lacrado a la cera;Suministros
30197600-2;Papel y carton elaborados;Suministros
30197610-5;Papel y carton mixtos;Suministros
30197620-8;Papel para escribir;Suministros
30197621-5;Soporte para rotafolios;Suministros
30197630-1;Papel de impresion;Suministros
30197640-4;Papel autocopia u otros papeles para copiar;Suministros
30197641-1;Papel termografico;Suministros
30197642-8;Papel para fotocopiadora y papel xerografico;Suministros
30197643-5;Papel para fotocopiadora;Suministros
30197644-2;Papel xerografico;Suministros
30197645-9;Tarjetas para imprimir;Suministros
30198000-3;Maquinas de loteria;Suministros
30198100-4;Maquinas tragaperras;Suministros
30199000-0;Articulos de papeleria y otros articulos;Suministros
30199100-1;Papel carbon, papel autocopia, clises para multicopista y papel sin carbon;Suministros
30199110-4;Papel carbon;Suministros
30199120-7;Papel autocopia;Suministros
30199130-0;Papel autocopiativo;Suministros
30199140-3;Clises para multicopista;Suministros
30199200-2;Sobres, sobres-carta y tarjetas postales sin ilustrar;Suministros
30199210-5;Sobres-carta;Suministros
30199220-8;Tarjetas postales sin ilustrar;Suministros
30199230-1;Sobres;Suministros
30199240-4;Juegos de sobres para envios de promocion y similares;Suministros
30199300-3;Papel gofrado o perforado;Suministros
30199310-6;Papel de impresion gofrado o perforado;Suministros
30199320-9;Papel para escribir gofrado o perforado;Suministros
30199330-2;Papel continuo para impresoras;Suministros
30199340-5;Formularios continuos;Suministros
30199400-4;Papel engomado o adhesivo;Suministros
30199410-7;Papel autoadhesivo;Suministros
30199500-5;Archivadores, clasificadores de cartas, cajas de almacenaje y articulos analogos;Suministros
30199600-6;Separadores;Suministros
30199700-7;Articulos de papeleria impresos, excepto formularios;Suministros
30199710-0;Sobres impresos;Suministros
30199711-7;Sobres con ventana impresos;Suministros
30199712-4;Sobres sin ventana impresos;Suministros
30199713-1;Sobres para radiografias impresos;Suministros
30199720-3;Papel de carta;Suministros
30199730-6;Tarjetas de visita comerciales;Suministros
30199731-3;Tarjeteros;Suministros
30199740-9;Tarjetas de cortesia;Suministros
30199750-2;Cupones;Suministros
30199760-5;Etiquetas;Suministros
30199761-2;Etiquetas de codigo de barras;Suministros
30199762-9;Etiquetas para equipaje;Suministros
30199763-6;Etiquetas antirrobo;Suministros
30199770-8;Cheques restaurante;Suministros
30199780-1;Cartapacios;Suministros
30199790-4;Horarios;Suministros
30199791-1;Planificadores de pared;Suministros
30199792-8;Calendarios;Suministros
30199793-5;Soporte de agenda;Suministros
30211000-1;Ordenador <mainframe>;Suministros
30211100-2;Superordenador;Suministros
30211200-3;Equipo informatico de unidad central;Suministros
30211300-4;Plataformas informaticas;Suministros
30211400-5;Configuraciones informaticas;Suministros
30211500-6;Unidad central de procesamiento (CPU) o procesadores;Suministros
30212000-8;Equipo informatico para miniordenadores;Suministros
30212100-9;Unidades centrales de proceso para miniordenadores;Suministros
30213000-5;Ordenadores personales;Suministros
30213100-6;Ordenadores portatiles;Suministros
30213200-7;Tabletas digitales;Suministros
30213300-8;Ordenadores de mesa;Suministros
30213400-9;Unidades centrales de proceso para ordenadores personales;Suministros
30213500-0;Ordenadores de bolsillo;Suministros
30214000-2;Puestos de trabajo;Suministros
30215000-9;Equipo informatico para microordenadores;Suministros
30215100-0;Unidades centrales de proceso para microordenadores;Suministros
30216000-6;Lectores magneticos u opticos;Suministros
30216100-7;Lectores opticos;Suministros
30216110-0;Escaneres para uso informatico;Suministros
30216120-3;Equipo de reconocimiento optico de caracteres;Suministros
30216130-6;Lectores de codigos de barras;Suministros
30216200-8;Lectores de tarjetas magneticas;Suministros
30216300-9;Lectores de tarjetas perforadas;Suministros
30221000-4;Planos catastrales digitales;Suministros
30231000-7;Pantallas de ordenador y consolas;Suministros
30231100-8;Terminales informaticos;Suministros
30231200-9;Consolas;Suministros
30231300-0;Pantallas de visualizacion;Suministros
30231310-3;Monitores de pantalla plana;Suministros
30231320-6;Monitores de pantalla tactil;Suministros
30232000-4;Perifericos;Suministros
30232100-5;Impresoras y trazadores graficos;Suministros
30232110-8;Impresoras laser;Suministros
30232120-1;Impresoras matriciales de puntos;Suministros
30232130-4;Impresoras para graficos en color;Suministros
30232140-7;Trazadores graficos;Suministros
30232150-0;Impresoras de chorro de tinta;Suministros
30232600-0;Codificadores;Suministros
30232700-1;Unidad central de control;Suministros
30233000-1;Dispositivos multimedia de almacenamiento y lectura;Suministros
30233100-2;Unidades de memoria;Suministros
30233110-5;Unidades de memoria de tarjeta magnetica;Suministros
30233120-8;Unidades de memoria de cinta magnetica;Suministros
30233130-1;Unidades de memoria de disco magnetico;Suministros
30233131-8;Unidades de disco flexible;Suministros
30233132-5;Unidades de disco duro;Suministros
30233140-4;Dispositivos de memoria de acceso directo;Suministros
30233141-1;Sistemas RAID (Redundant Array of Independent Disk);Suministros
30233150-7;Unidades de disco optico;Suministros
30233151-4;Reproductores o duplicadores de discos compactos (CD);Suministros
30233152-1;Reproductores o duplicadores de discos versatiles digitales (DVD);Suministros
30233153-8;Reproductores o duplicadores de discos compactos (CD) y discos versatiles digitales (DVD);Suministros
30233160-0;Bobinadores en continuo;Suministros
30233161-7;Equipo para manipulacion de casetes;Suministros
30233170-3;Carruseles;Suministros
30233180-6;Dispositivos de almacenamiento de memoria flash;Suministros
30233190-9;Controlador de discos;Suministros
30233300-4;Lectores de tarjetas inteligentes;Suministros
30233310-7;Lectores de huellas dactilares;Suministros
30233320-0;Lectores combinados de tarjetas inteligentes y huellas dactilares;Suministros
30234000-8;Soportes de almacenamiento;Suministros
30234100-9;Discos magneticos;Suministros
30234200-0;Discos opticos;Suministros
30234300-1;Discos compactos (CD);Suministros
30234400-2;Discos versatiles digitales (DVD);Suministros
30234500-3;Soportes de memoria;Suministros
30234600-4;Memorias flash;Suministros
30234700-5;Cintas magneticas;Suministros
30236000-2;Equipo informatico diverso;Suministros
30236100-3;Equipo para ampliacion de memoria;Suministros
30236110-6;Memorias RAM (Random Access Memory);Suministros
30236111-3;Memorias DRAM (Dynamic Random Access Memory);Suministros
30236112-0;Memorias SRAM (Static Random Access Memory);Suministros
30236113-7;Memorias SDRAM (Synchronous Dynamic Random Access Memory);Suministros
30236114-4;Memorias RDRAM (Rambus Dynamic Random Access Memory);Suministros
30236115-1;Memorias SGRAM (Synchronous Graphic Random Access Memory);Suministros
30236120-9;Memoria ROM (Read Only Memory);Suministros
30236121-6;Memoria PROM (Programmable Read Only Memory);Suministros
30236122-3;Memoria EPROM (Erasable Programmable Read Only Memory);Suministros
30236123-0;Memoria EEPROM (Electronically Erasable Programmable Read Only Memory);Suministros
30236200-4;Procesador de datos;Suministros
30237000-9;Partes, accesorios y suministros para ordenadores;Suministros
30237100-0;Partes de ordenadores;Suministros
30237110-3;Interfaces de red;Suministros
30237120-6;Puertos de ordenador;Suministros
30237121-3;Puertos infrarrojos en serie;Suministros
30237130-9;Fichas informaticas;Suministros
30237131-6;Fichas electronicas;Suministros
30237132-3;Interfaces USB (Universal Serial Bus);Suministros
30237133-0;Adaptadores e interfaces PCMCIA (Personal Computer Memory Card International Association);Suministros
30237134-7;Tarjetas aceleradoras de graficos;Suministros
30237135-4;Tarjetas para interfaces de red;Suministros
30237136-1;Tarjetas de sonido;Suministros
30237140-2;Placas madre;Suministros
30237200-1;Accesorios informaticos;Suministros
30237210-4;Pantallas antideslumbrantes;Suministros
30237220-7;Almohadillas para raton;Suministros
30237230-0;Memorias cache;Suministros
30237240-3;Camaras web;Suministros
30237250-6;Accesorios para limpieza de ordenadores;Suministros
30237251-3;Kits de limpieza de ordenadores;Suministros
30237252-0;Limpiadores de aire comprimido;Suministros
30237253-7;Fundas protectoras para equipos informaticos;Suministros
30237260-9;Soportes murales para monitores;Suministros
30237270-2;Maletines para ordenadores portatiles;Suministros
30237280-5;Accesorios para la alimentacion de corriente;Suministros
30237290-8;Reposamu?ecas para teclados;Suministros
30237295-3;Membranas protectoras para teclados;Suministros
30237300-2;Material informatico;Suministros
30237310-5;Cartuchos de conjuntos de caracteres para impresora;Suministros
30237320-8;Disquetes;Suministros
30237330-1;Cintas de audio digital (DAT);Suministros
30237340-4;Cartuchos DLT (Digital Linear Tape);Suministros
30237350-7;Cartuchos para almacenamiento de datos;Suministros
30237360-0;Cartuchos LTO (Linear Tape-Open);Suministros
30237370-3;Cartuchos grabadores;Suministros
30237380-6;CD-ROM;Suministros
30237400-3;Accesorios para introduccion de datos;Suministros
30237410-6;Raton de ordenador;Suministros
30237420-9;Joysticks;Suministros
30237430-2;Lapices luminosos;Suministros
30237440-5;Bolas rastreadoras;Suministros
30237450-8;Tabletas graficas;Suministros
30237460-1;Teclados de ordenador;Suministros
30237461-8;Teclados programables;Suministros
30237470-4;Teclado Braille;Suministros
30237475-9;Sensores electricos;Suministros
30237480-7;Unidades de entrada;Suministros
30238000-6;Equipo de automatizacion de biblioteca;Suministros
31111000-7;Adaptadores;Suministros
31121000-0;Grupos electrogenos;Suministros
31121100-1;Grupos electrogenos con motor de encendido por compresion;Suministros
31121110-4;Convertidores de potencia;Suministros
31121111-1;Convertidores rotativos electricos;Suministros
31121200-2;Grupos electrogenos con motor de encendido por chispa;Suministros
31121300-3;Aerogeneradores;Suministros
31121310-6;Molinos de viento;Suministros
31121320-9;Turbinas eolicas;Suministros
31121330-2;Generadores para turbinas eolicas;Suministros
31121331-9;Rotores de turbina;Suministros
31121340-5;Granja eolica;Suministros
31122000-7;Generadores con maquina impulsora;Suministros
31122100-8;Pilas de combustible;Suministros
31124000-1;Generador de turbina de vapor y aparatos conexos;Suministros
31124100-2;Juegos de generadores de turbina;Suministros
31124200-3;Aparatos de control de generador de turbina;Suministros
31126000-5;Dinamos;Suministros
31127000-2;Generadores de emergencia;Suministros
31128000-9;Turbogenerador;Suministros
31131000-3;Motores monofasicos;Suministros
31131100-4;Actuadores;Suministros
31131200-5;Anodos;Suministros
31132000-0;Motores polifasicos;Suministros
31141000-6;Enfriadores de agua;Suministros
31151000-9;Convertidores estaticos;Suministros
31153000-3;Rectificadores;Suministros
31154000-0;Suministros ininterrumpidos de energia;Suministros
31155000-7;Inversores;Suministros
31156000-4;Suministros interrumpibles de energia;Suministros
31157000-1;Inductores;Suministros
31158000-8;Cargadores;Suministros
31158100-9;Cargadores de baterias;Suministros
31158200-0;Sobrealimentadores;Suministros
31158300-1;Turbocargadores;Suministros
31161000-2;Partes de motores y generadores electricos;Suministros
31161100-3;Sistemas de excitacion;Suministros
31161200-4;Sistemas de refrigeracion por gas;Suministros
31161300-5;Rotores de generadores;Suministros
31161400-6;Sistemas de agua primaria;Suministros
31161500-7;Sistemas de aceite de estanqueidad;Suministros
31161600-8;Sistemas de agua de refrigeracion del estator;Suministros
31161700-9;Partes de generadores de vapor;Suministros
31161800-0;Partes de generadores de gas;Suministros
31161900-1;Sistemas de control de tension;Suministros
31162000-9;Partes de transformadores, inductores y convertidores estaticos;Suministros
31162100-0;Partes de condensadores;Suministros
31171000-5;Transformadores dielectricos liquidos;Suministros
31172000-2;Transformadores de tension;Suministros
31173000-9;Transformador para aparatos de medida;Suministros
31174000-6;Transformadores de corriente;Suministros
31211000-8;Cuadros y cajas de fusibles;Suministros
31211100-9;Cuadros de distribucion electrica;Suministros
31211110-2;Tableros de control;Suministros
31211200-0;Cajas de fusibles;Suministros
31211300-1;Fusibles;Suministros
31211310-4;Cortacircuitos;Suministros
31211320-7;Cajas de bornes para fusibles;Suministros
31211330-0;Cables de fusibles;Suministros
31211340-3;Abrazaderas y soportes para fusibles;Suministros
31212000-5;Disyuntores;Suministros
31212100-6;Disyuntores aereos;Suministros
31212200-7;Probadores de circuito;Suministros
31212300-8;Disyuntores magneticos;Suministros
31212400-9;Minidisyuntores;Suministros
31213000-2;Equipo de distribucion;Suministros
31213100-3;Cajas de distribucion;Suministros
31213200-4;Transformadores de distribucion;Suministros
31213300-5;Caja de distribucion por cable;Suministros
31213400-6;Sistema de distribucion;Suministros
31214000-9;Conmutadores;Suministros
31214100-0;Interruptores;Suministros
31214110-3;Interruptores aisladores;Suministros
31214120-6;Interruptor de puesta a tierra;Suministros
31214130-9;Interruptores de seguridad;Suministros
31214140-2;Reostatos;Suministros
31214150-5;Interruptores de tambor;Suministros
31214160-8;Interruptores de presion;Suministros
31214170-1;Interruptores de palanca;Suministros
31214180-4;Interruptores laterales;Suministros
31214190-7;Limitadores de corriente;Suministros
31214200-1;Interruptor-seccionador;Suministros
31214300-2;Instalaciones de conmutacion de exterior;Suministros
31214400-3;Interruptor-seccionador de fusible;Suministros
31214500-4;Cuadros electricos;Suministros
31214510-7;Tableros de distribucion;Suministros
31214520-0;Celdas de media tension;Suministros
31215000-6;Limitadores de tension;Suministros
31216000-3;Dispositivos y equipos de proteccion contra rayos;Suministros
31216100-4;Equipo de proteccion contra rayos;Suministros
31216200-5;Pararrayos;Suministros
31217000-0;Eliminadores de sobrevoltaje;Suministros
31218000-7;Barras omnibus;Suministros
31219000-4;Cajas de proteccion;Suministros
31221000-1;Reles electricos;Suministros
31221100-2;Reles de potencia;Suministros
31221200-3;Reles de uso general;Suministros
31221300-4;Reles con zocalo;Suministros
31221400-5;Reles de alternadores de voltaje;Suministros
31221500-6;Reles de mercurio;Suministros
31221600-7;Reles temporizadores;Suministros
31221700-8;Reles de sobrecarga;Suministros
31223000-5;Portalamparas;Suministros
31224000-2;Conexiones y elementos de contacto;Suministros
31224100-3;Clavijas y tomas de corriente;Suministros
31224200-4;Conectores coaxiales;Suministros
31224300-5;Cajas de conexion;Suministros
31224400-6;Cables de conexion;Suministros
31224500-7;Terminales;Suministros
31224600-8;Reguladores de intensidad luminosa;Suministros
31224700-9;Cajas de empalmes;Suministros
31224800-0;Kits de empalmes de cables;Suministros
31224810-3;Cables alargadores;Suministros
31311000-9;Conexiones de red;Suministros
31321000-2;Lineas de energia electrica;Suministros
31321100-3;Lineas aereas de energia;Suministros
31321200-4;Cables de baja y media tension;Suministros
31321210-7;Cables de baja tension;Suministros
31321220-0;Cables de media tension;Suministros
31321300-5;Cables de alta tension;Suministros
31321400-6;Cables subacuaticos;Suministros
31321500-7;Cables submarinos;Suministros
31321600-8;Cables blindados;Suministros
31321700-9;Cables de se?alizacion;Suministros
31341000-8;Tambores para cables, aislados;Suministros
31342000-5;Empalmes para cables, aislados;Suministros
31343000-2;Juntas para cables, aisladas;Suministros
31344000-9;Casquillos para paso de cable, aislados;Suministros
31351000-1;Conductores electricos para sistemas de control de acceso;Suministros
31411000-0;Baterias alcalinas;Suministros
31421000-3;Baterias de plomo;Suministros
31422000-0;Paquetes de baterias;Suministros
31431000-6;Acumuladores acidos de plomo;Suministros
31432000-3;Acumuladores de niquel-cadmio;Suministros
31433000-0;Acumuladores de niquel-hierro;Suministros
31434000-7;Acumuladores de litio;Suministros
31511000-1;Lamparas de incandescencia halogenas de wolframio;Suministros
31512000-8;Lamparas de incandescencia halogenas de wolframio;Suministros
31512100-9;Lamparas halogenas lineales;Suministros
31512200-0;Lamparas halogenas de capsula;Suministros
31512300-1;Lamparas halogenas dicroicas;Suministros
31514000-2;Lamparas y tubos de descarga;Suministros
31515000-9;Lamparas y tubos de rayos ultravioletas;Suministros
31516000-6;Lamparas y tubos de rayos infrarrojos;Suministros
31517000-3;Lamparas de arco electrico;Suministros
31518000-0;Luces de se?alizacion;Suministros
31518100-1;Lamparas proyectantes;Suministros
31518200-2;Equipo de alumbrado de emergencia;Suministros
31518210-5;Lamparas de keroseno (<stormlights>);Suministros
31518220-8;Barras luminosas;Suministros
31518300-3;Luces de techo;Suministros
