CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
03321000-5;Ganado bovino;Suministros
03321100-6;Bovinos adultos;Suministros
03321200-7;Terneros;Suministros
03322000-2;Ganado no bovino;Suministros
03322100-3;Ovejas;Suministros
03322200-4;Cabras;Suministros
03322300-5;Caballos;Suministros
03323000-9;Cerdos;Suministros
03324000-6;Aves de corral vivas;Suministros
03325000-3;Animales peque?os;Suministros
03325100-4;Conejos;Suministros
03325200-5;Liebres;Suministros
03331000-0;Leche fresca de oveja y de cabra;Suministros
03331100-1;Leche de oveja;Suministros
03331200-2;Leche de cabra;Suministros
03332000-7;Lana y pelo de animales;Suministros
03332100-8;Lana de esquila;Suministros
03332200-9;Pelo de animal;Suministros
03333000-4;Leche fresca de vaca;Suministros
03341000-3;Marcas auriculares para ganado bovino;Suministros
03411000-4;Madera de coniferas;Suministros
03412000-1;Madera de especies tropicales;Suministros
03413000-8;Madera para calefaccion;Suministros
03414000-5;Madera en bruto;Suministros
03415000-2;Madera blanda;Suministros
03416000-9;Residuos de madera;Suministros
03417000-6;Madera de desecho;Suministros
03417100-7;Serrin;Suministros
03418000-3;Troncos;Suministros
03418100-4;Madera dura;Suministros
03419000-0;Madera de construccion;Suministros
03419100-1;Productos de madera;Suministros
03419200-2;Madera de mina;Suministros
03421000-7;Balsamos;Suministros
03422000-4;Laca;Suministros
03431000-0;Corcho natural;Suministros
03432000-7;Articulos de cesteria;Suministros
03432100-8;Articulos de esparteria;Suministros
03441000-3;Plantas, hierbas, musgos o liquenes para uso ornamental;Suministros
03451000-6;Plantas;Suministros
03451100-7;Plantas para trasplantar;Suministros
03451200-8;Bulbos florales;Suministros
03451300-9;Arbustos;Suministros
03452000-3;Arboles;Suministros
03461000-9;Pasta de madera;Suministros
03461100-0;Pasta quimica de madera;Suministros
09111000-0;Carbon y combustibles derivados del carbon;Suministros
09111100-1;Carbon;Suministros
09111200-2;Combustibles derivados del carbon;Suministros
09111210-5;Antracita;Suministros
09111220-8;Briquetas;Suministros
09111300-3;Combustibles fosiles;Suministros
09111400-4;Combustibles de madera;Suministros
09112000-7;Lignito y turba;Suministros
09112100-8;Lignito;Suministros
09112200-9;Turba;Suministros
09113000-4;Coque;Suministros
09121000-3;Gas de hulla, gas de red o gases similares;Suministros
09121100-4;Gas de hulla o gases similares;Suministros
09121200-5;Gas de red;Suministros
09122000-0;Propano y butano;Suministros
09122100-1;Gas propano;Suministros
09122110-4;Gas propano licuado;Suministros
09122200-2;Gas butano;Suministros
09122210-5;Gas butano licuado;Suministros
09123000-7;Gas natural;Suministros
09131000-6;Queroseno de aviacion;Suministros
09131100-7;Combustibles tipo queroseno para reactores;Suministros
09132000-3;Gasolina;Suministros
09132100-4;Gasolina sin plomo;Suministros
09132200-5;Gasolina con plomo;Suministros
09132300-6;Gasolina con etanol;Suministros
09133000-0;Gas licuado del petroleo (GLP);Suministros
09134000-7;Gasoleos;Suministros
09134100-8;Gasoil;Suministros
09134200-9;Combustible para motores diesel;Suministros
09134210-2;Combustible para motores diesel (0.2);Suministros
09134220-5;Combustible para motores diesel (EN 590);Suministros
09134230-8;Biodiesel;Suministros
09134231-5;Biodiesel (B20);Suministros
09134232-2;Biodiesel (B100);Suministros
09135000-4;Aceites combustibles;Suministros
09135100-5;Petroleo para calefaccion;Suministros
09135110-8;Aceites combustibles con bajo contenido de azufre;Suministros
09211000-1;Aceites lubricantes y agentes lubricantes;Suministros
09211100-2;Aceites para motores;Suministros
09211200-3;Aceites para compresores;Suministros
09211300-4;Aceites para turbinas;Suministros
09211400-5;Aceites para engranajes;Suministros
09211500-6;Aceites para reductores;Suministros
09211600-7;Aceites para sistemas hidraulicos y otros usos;Suministros
09211610-0;Liquidos para uso hidraulico;Suministros
09211620-3;Aceites de desmoldado;Suministros
09211630-6;Aceites anticorrosion;Suministros
09211640-9;Aceites para aislamiento electrico;Suministros
09211650-2;Liquidos de frenos;Suministros
09211700-8;Aceites blancos y parafinas liquidas;Suministros
09211710-1;Aceites blancos;Suministros
09211720-4;Parafinas liquidas;Suministros
09211800-9;Aceites de petroleo y preparados;Suministros
09211810-2;Aceites ligeros;Suministros
09211820-5;Aceites de petroleo;Suministros
09211900-0;Aceites lubricantes para motores de traccion;Suministros
09221000-4;Vaselina y ceras de petroleo;Suministros
09221100-5;Vaselina;Suministros
09221200-6;Parafina;Suministros
