CPV_def;CPV_Descripcion;Tipo_de_contrato
03320000;Ganado y animales pequeños;Suministros
03321000;Ganado bovino;Suministros
03321100;Bovinos adultos;Suministros
03321200;Terneros;Suministros
03322000;Ganado no bovino;Suministros
03322100;Ovejas;Suministros
03322200;Cabras;Suministros
03322300;Caballos;Suministros
03323000;Cerdos;Suministros
03324000;Aves de corral vivas;Suministros
03325000;Animales pequeños;Suministros
03325100;Conejos;Suministros
03325200;Liebres;Suministros
03330000;Productos de animales de granja;Suministros
03331000;Leche fresca de oveja y de cabra;Suministros
03331100;Leche de oveja;Suministros
03331200;Leche de cabra;Suministros
03332000;Lana y pelo de animales;Suministros
03332100;Lana de esquila;Suministros
03332200;Pelo de animal;Suministros
03333000;Leche fresca de vaca;Suministros
03340000;Marcas auriculares para animales;Suministros
03341000;Marcas auriculares para ganado bovino;Suministros
03400000;Productos de la silvicultura y de la explotación forestal;Suministros
03410000;Madera;Suministros
03411000;Madera de coníferas;Suministros
03412000;Madera de especies tropicales;Suministros
03413000;Madera para calefacción;Suministros
03414000;Madera en bruto;Suministros
03415000;Madera blanda;Suministros
03416000;Residuos de madera;Suministros
03417000;Madera de desecho;Suministros
03417100;Serrín;Suministros
03418000;Troncos;Suministros
03418100;Madera dura;Suministros
03419000;Madera de construcción;Suministros
03419100;Productos de madera;Suministros
03419200;Madera de mina;Suministros
03420000;Gomas;Suministros
03421000;Bálsamos;Suministros
03422000;Laca;Suministros
03430000;Corcho;Suministros
03431000;Corcho natural;Suministros
03432000;Artículos de cestería;Suministros
03432100;Artículos de espartería;Suministros
03440000;Productos de la silvicultura;Suministros
03441000;Plantas, hierbas, musgos o líquenes para uso ornamental;Suministros
03450000;Productos de vivero;Suministros
03451000;Plantas;Suministros
03451100;Plantas para trasplantar;Suministros
03451200;Bulbos florales;Suministros
03451300;Arbustos;Suministros
03452000;Árboles;Suministros
03460000;Pasta de celulosa;Suministros
03461000;Pasta de madera;Suministros
03461100;Pasta química de madera;Suministros
09000000;Derivados del petróleo, combustibles, electricidad y otras fuentes de energía;Suministros
09100000;Combustibles;Suministros
09110000;Combustibles sólidos;Suministros
09111000;Carbón y combustibles derivados del carbón;Suministros
09111100;Carbón;Suministros
09111200;Combustibles derivados del carbón;Suministros
09111210;Antracita;Suministros
09111220;Briquetas;Suministros
09111300;Combustibles fósiles;Suministros
09111400;Combustibles de madera;Suministros
09112000;Lignito y turba;Suministros
09112100;Lignito;Suministros
09112200;Turba;Suministros
09113000;Coque;Suministros
09120000;Combustibles gaseosos;Suministros
09121000;Gas de hulla, gas de red o gases similares;Suministros
09121100;Gas de hulla o gases similares;Suministros
09121200;Gas de red;Suministros
09122000;Propano y butano;Suministros
09122100;Gas propano;Suministros
09122110;Gas propano licuado;Suministros
09122200;Gas butano;Suministros
09122210;Gas butano licuado;Suministros
09123000;Gas natural;Suministros
09130000;Petróleo y destilados;Suministros
09131000;Queroseno de aviación;Suministros
09131100;Combustibles tipo queroseno para reactores;Suministros
09132000;Gasolina;Suministros
09132100;Gasolina sin plomo;Suministros
09132200;Gasolina con plomo;Suministros
09132300;Gasolina con etanol;Suministros
09133000;Gas licuado del petróleo (GLP);Suministros
09134000;Gasóleos;Suministros
09134100;Gasoil;Suministros
09134200;Combustible para motores diésel;Suministros
09134210;Combustible para motores diésel (0.2);Suministros
09134220;Combustible para motores diésel (EN 590);Suministros
09134230;Biodiésel;Suministros
09134231;Biodiésel (B20);Suministros
09134232;Biodiésel (B100);Suministros
09135000;Aceites combustibles;Suministros
09135100;Petróleo para calefacción;Suministros
09135110;Aceites combustibles con bajo contenido de azufre;Suministros
09200000;Productos del petróleo, del carbón y de aceites minerales;Suministros
09210000;Preparados lubricantes;Suministros
09211000;Aceites lubricantes y agentes lubricantes;Suministros
09211100;Aceites para motores;Suministros
09211200;Aceites para compresores;Suministros
09211300;Aceites para turbinas;Suministros
09211400;Aceites para engranajes;Suministros
09211500;Aceites para reductores;Suministros
09211600;Aceites para sistemas hidráulicos y otros usos;Suministros
09211610;Líquidos para uso hidráulico;Suministros
09211620;Aceites de desmoldado;Suministros
09211630;Aceites anticorrosión;Suministros
09211640;Aceites para aislamiento eléctrico;Suministros
09211650;Líquidos de frenos;Suministros
09211700;Aceites blancos y parafinas líquidas;Suministros
09211710;Aceites blancos;Suministros
09211720;Parafinas líquidas;Suministros
09211800;Aceites de petróleo y preparados;Suministros
09211810;Aceites ligeros;Suministros
09211820;Aceites de petróleo;Suministros
09211900;Aceites lubricantes para motores de tracción;Suministros
09220000;Vaselina, ceras de petróleo y gasolinas especiales;Suministros
09221000;Vaselina y ceras de petróleo;Suministros
09221100;Vaselina;Suministros
09221200;Parafina;Suministros
09221300;Cera de petróleo;Suministros
09221400;Residuos de petróleo;Suministros
09222000;Gasolinas especiales;Suministros
09222100;Trementina mineral;Suministros
09230000;Petróleo (crudo);Suministros
09240000;Productos derivados del carbón o de aceites minerales;Suministros
09241000;Esquistos bituminosos o petrolíferos;Suministros
09242000;Productos derivados del carbón;Suministros
09242100;Aceite de alquitrán;Suministros
09300000;Electricidad, calefacción, energías solar y nuclear;Suministros
09310000;Electricidad;Suministros
09320000;Vapor, agua caliente y productos afines;Suministros
09321000;Agua caliente;Suministros
09322000;Vapor;Suministros
09323000;Calefacción urbana;Suministros
09324000;Calefacción a larga distancia;Suministros
09330000;Energía solar;Suministros
09331000;Placas solares;Suministros
09331100;Captadores solares para la producción de calor;Suministros
09331200;Módulos solares fotovoltaicos;Suministros
09332000;Instalación solar;Suministros
09340000;Combustibles nucleares;Suministros
09341000;Uranio;Suministros
09342000;Plutonio;Suministros
09343000;Materiales radiactivos;Suministros
09344000;Radioisótopos;Suministros
14000000;Productos de la minería, de metales de base y productos afines;Suministros
14200000;Arena y arcilla;Suministros
14210000;Grava, arena, piedras machacadas y agregados;Suministros
14211000;Arena;Suministros
14211100;Arena natural;Suministros
14212000;Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena grava y;Suministros
14212100;Guijarros y grava;Suministros
14212110;Grava;Suministros
14212120;Guijarros;Suministros
14212200;Agregados;Suministros
14212210;Mezcla arena grava;Suministros
14212300;Piedra partida y machacada;Suministros
14212310;Balasto;Suministros
14212320;Granito machacado;Suministros
14212330;Basalto machacado;Suministros
14212400;Suelo;Suministros
14212410;Tierra vegetal;Suministros
14212420;Subsuelo;Suministros
14212430;Gravilla;Suministros
14213000;Macadán, macadán bituminoso y arenas bituminosas;Suministros
14213100;Macadán;Suministros
14213200;Macadán bituminoso;Suministros
14213300;Arenas bituminosas;Suministros
14220000;Arcilla y caolín;Suministros
14221000;Arcilla;Suministros
14222000;Caolín;Suministros
14300000;Minerales químicos y abonos minerales;Suministros
14310000;Abonos minerales;Suministros
14311000;Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto;Suministros
14311100;Calcio natural;Suministros
14311200;Fosfatos aluminocálcicos;Suministros
14311300;Sales de potasio natural en bruto;Suministros
14312000;Piritas de hierro;Suministros
14312100;Piritas de hierro sin tostar;Suministros
14320000;Minerales químicos;Suministros
14400000;Sal y cloruro de sodio puro;Suministros
14410000;Sal gema;Suministros
14420000;Sal marina;Suministros
14430000;Sal evaporada y cloruro de sodio puro;Suministros
14450000;Salmuera;Suministros
14500000;Productos relacionados con la explotación de minas y canteras;Suministros
14520000;"Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos";Suministros
14521000;Piedras preciosas y semipreciosas;Suministros
14521100;Piedras preciosas;Suministros
14521140;Polvillo o polvo de piedras preciosas;Suministros
14521200;Piedras semipreciosas;Suministros
14521210;Polvillo o polvo de piedras semipreciosas;Suministros
14522000;"Diamantes industriales; piedra pómez; esmeril y otros abrasivos naturales";Suministros
14522100;Piedra pómez;Suministros
14522200;Diamantes industriales;Suministros
14522300;Esmeril;Suministros
14522400;Abrasivos naturales;Suministros
14523000;Minerales conexos, metales preciosos y productos afines;Suministros
14523100;Minerales;Suministros
14523200;Oro;Suministros
14523300;Plata;Suministros
14523400;Platino;Suministros
14600000;Minerales metálicos y aleaciones;Suministros
14610000;Minerales metálicos;Suministros
14611000;Minerales de hierro;Suministros
14612000;Minerales metálicos no ferrosos;Suministros
14612100;Minerales de cobre;Suministros
14612200;Minerales de níquel;Suministros
14612300;Minerales de aluminio;Suministros
14612400;Minerales de metales preciosos;Suministros
14612500;Minerales de plomo;Suministros
14612600;Minerales de zinc;Suministros
14612700;Minerales de estaño;Suministros
14613000;Minerales de uranio y torio;Suministros
14613100;Minerales de uranio;Suministros
14613200;Minerales de torio;Suministros
14614000;Minerales diversos;Suministros
14620000;Aleaciones;Suministros
14621000;Ferroaleaciones;Suministros
14621100;Ferroaleaciones distintas de las de la CECA;Suministros
14621110;Ferromanganeso;Suministros
14621120;Ferrocromo;Suministros
14621130;Ferroníquel;Suministros
14622000;Acero;Suministros
14630000;Escoria y batiduras, desperdicios y desechos ferrosos;Suministros
14700000;Metales comunes;Suministros
14710000;Hierro, plomo, zinc, estaño y cobre;Suministros
14711000;Hierro;Suministros
14711100;Fundición en bruto;Suministros
14712000;Plomo;Suministros
14713000;Zinc;Suministros
14714000;Estaño;Suministros
14715000;Cobre;Suministros
14720000;Aluminio, níquel, escandio, titanio y vanadio;Suministros
14721000;Aluminio;Suministros
14721100;Óxido de aluminio;Suministros
14722000;Níquel;Suministros
14723000;Escandio;Suministros
14724000;Titanio;Suministros
14725000;Vanadio;Suministros
14730000;Cromo, manganeso, cobalto, itrio y circonio;Suministros
14731000;Cromo;Suministros
14732000;Manganeso;Suministros
14733000;Cobalto;Suministros
14734000;Itrio;Suministros
14735000;Circonio;Suministros
14740000;Molibdeno, tecnecio, rutenio y rodio;Suministros
14741000;Molibdeno;Suministros
14742000;Tecnecio;Suministros
14743000;Rutenio;Suministros
14744000;Rodio;Suministros
14750000;Cadmio, lutecio, hafnio, tantalio y wolframio;Suministros
14751000;Cadmio;Suministros
14752000;Lutecio;Suministros
14753000;Hafnio;Suministros
14754000;Tantalio;Suministros
14755000;Wolframio;Suministros
14760000;Iridio, galio, indio, talio y bario;Suministros
14761000;Iridio;Suministros
14762000;Galio;Suministros
14763000;Indio;Suministros
14764000;Talio;Suministros
14765000;Bario;Suministros
14770000;Cesio, estroncio, rubidio y calcio;Suministros
14771000;Cesio;Suministros
14772000;Estroncio;Suministros
14773000;Rubidio;Suministros
14774000;Calcio;Suministros
14780000;Potasio, magnesio, sodio y litio;Suministros
14781000;Potasio;Suministros
14782000;Magnesio;Suministros
14783000;Sodio;Suministros
14784000;Litio;Suministros
14790000;Niobio, osmio, renio y paladio;Suministros
14791000;Niobio;Suministros
14792000;Osmio;Suministros
14793000;Renio;Suministros
14794000;Paladio;Suministros
