CPV_def;CPV_Descripcion;Tipo_de_contrato
18424000;Guantes;Suministros
18424300;Guantes desechables;Suministros
18424400;Manoplas;Suministros
18424500;Guanteletes;Suministros
18425000;Cinturones;Suministros
18425100;Bandoleras;Suministros
18440000;Sombreros y tocados;Suministros
18441000;Sombreros;Suministros
18443000;Artículos y complementos de sombrerería;Suministros
18443100;Bandas antisudor;Suministros
18443300;Artículos de sombrerería;Suministros
18443310;Boinas;Suministros
18443320;Gorras de campo;Suministros
18443330;Capuchas;Suministros
18443340;Gorras;Suministros
18443400;Barboquejos para sombrerería;Suministros
18443500;Viseras;Suministros
18444000;Tocados de protección;Suministros
18444100;Tocados de seguridad;Suministros
18444110;Cascos;Suministros
18444111;Cascos de protección;Suministros
18444112;Cascos de ciclista;Suministros
18444200;Cascos de seguridad;Suministros
18450000;Cierres para prendas de vestir;Suministros
18451000;Botones;Suministros
18451100;Partes de botones;Suministros
18452000;Imperdibles;Suministros
18453000;Cremalleras;Suministros
18500000;Joyas, relojes y artículos conexos;Suministros
18510000;Joyas y artículos conexos;Suministros
18511000;Piedras preciosas para joyería;Suministros
18511100;Diamantes;Suministros
18511200;Rubíes;Suministros
18511300;Esmeraldas;Suministros
18511400;Ópalos;Suministros
18511500;Cuarzos;Suministros
18511600;Turmalinas;Suministros
18512000;Monedas y medallas;Suministros
18512100;Monedas;Suministros
18512200;Medallas;Suministros
18513000;Artículos de joyería;Suministros
18513100;Perlas;Suministros
18513200;Artículos de orfebrería de oro;Suministros
18513300;Artículos de metales preciosos;Suministros
18513400;Artículos de piedras preciosas o semipreciosas;Suministros
18513500;Artículos de orfebrería de plata;Suministros
18520000;Relojería para uso personal;Suministros
18521000;Relojes de pulsera o de bolsillo;Suministros
18521100;Cristal para relojes de pulsera;Suministros
18522000;Relojes de pulsera;Suministros
18523000;Cronómetros;Suministros
18530000;Regalos y premios;Suministros
18600000;Pieles y artículos de piel;Suministros
18610000;Artículos de piel;Suministros
18611000;Pieles finas;Suministros
18612000;Prendas de vestir de piel;Suministros
18613000;Artículos de piel artificial;Suministros
18620000;Pieles;Suministros
18800000;Calzado;Suministros
18810000;Calzado distinto del calzado deportivo y de protección;Suministros
18811000;Calzado impermeable;Suministros
18812000;Calzado con partes de caucho o de plástico;Suministros
18812100;Sandalias con pala de caucho o de plástico;Suministros
18812200;Botas de caucho;Suministros
18812300;Calzado de vestir con pala de caucho o de plástico;Suministros
18812400;Chancletas;Suministros
18813000;Calzado con pala de cuero;Suministros
18813100;Sandalias;Suministros
18813200;Pantuflas;Suministros
18813300;Calzado de vestir;Suministros
18814000;Calzado con pala de materiales textiles;Suministros
18815000;Botas;Suministros
18815100;Botines;Suministros
18815200;Botas de media caña;Suministros
18815300;Botas altas;Suministros
18815400;Botas de agua de caña alta;Suministros
18816000;Chanclos;Suministros
18820000;Calzado deportivo;Suministros
18821000;Calzado de esquí;Suministros
18821100;Calzado de esquí de fondo;Suministros
18822000;Zapatillas de entrenamiento;Suministros
18823000;Botas de media montaña, de serraje;Suministros
18824000;Botas de fútbol;Suministros
18830000;Calzado de protección;Suministros
18831000;Calzado con puntera metálica de protección;Suministros
18832000;Calzado especial;Suministros
18832100;Calzado de vuelo;Suministros
18840000;Partes de calzado;Suministros
18841000;Palas de calzado;Suministros
18842000;Suelas;Suministros
18843000;Tacones;Suministros
18900000;Artículos de viaje, talabartería, sacos y bolsas;Suministros
18910000;Artículos de talabartería;Suministros
18911000;Sillas de montar;Suministros
18912000;Fustas;Suministros
18913000;Látigos;Suministros
18920000;Artículos de viaje;Suministros
18921000;Maletas;Suministros
18923000;Bolsas y billeteros;Suministros
18923100;Bolsas pequeñas;Suministros
18923200;Billeteros;Suministros
18924000;Baúles;Suministros
18925000;Portacantimploras y fundas;Suministros
18925100;Portacantimploras;Suministros
18925200;Fundas;Suministros
18929000;Neceseres;Suministros
18930000;Sacos y talegas;Suministros
18931000;Sacos de viaje;Suministros
18931100;Mochilas;Suministros
18932000;Bolsas de deporte;Suministros
18933000;Sacas y bolsas para correo;Suministros
18933100;Valijas;Suministros
18934000;Macutos;Suministros
18935000;Bolsas para ropa sucia;Suministros
18936000;Bolsas textiles;Suministros
18937000;Sacos para embalaje;Suministros
18937100;Bolsas para embalaje;Suministros
18938000;Sobres acolchados;Suministros
18939000;Bolsos de mano;Suministros
19000000;Piel y textiles, materiales de plástico y caucho;Suministros
19100000;Cuero;Suministros
19110000;Cuero agamuzado;Suministros
19120000;Cuero de bovinos o equinos;Suministros
19130000;Cuero de oveja, cabra o cerdo;Suministros
19131000;Piel de oveja o cordero;Suministros
19132000;Piel de cabra o cabritilla;Suministros
19133000;Cuero de cerdo;Suministros
19140000;Piel de otros animales, cuero reconstituido y otros cueros;Suministros
19141000;Cuero de otros animales;Suministros
19142000;Cuero artificial o regenerado;Suministros
19143000;Cuero de imitación;Suministros
19144000;Charol;Suministros
19160000;Correas de reloj;Suministros
19170000;Artículos de cuero usados en maquinaria o aparatos mecánicos;Suministros
19200000;Telas y artículos conexos;Suministros
19210000;Tejidos;Suministros
19211000;Tejidos sintéticos;Suministros
19211100;Tejidos de mezcla;Suministros
19212000;Tejidos de algodón;Suministros
19212100;Cutí;Suministros
19212200;"Tejidos de mezclilla (""denim"")";Suministros
19212300;Lona;Suministros
19212310;Artículos de lona;Suministros
19212400;Popelina;Suministros
19212500;Cinchas;Suministros
19212510;Cinchas y correas;Suministros
19220000;Tejidos de lana;Suministros
19230000;Tejidos de lino;Suministros
19231000;Ropa blanca;Suministros
19240000;Tejidos especiales;Suministros
19241000;Terciopelo y felpa;Suministros
19242000;Tejido de toalla con bucles;Suministros
19243000;Tejidos para tapicería;Suministros
19244000;Tejidos para cortinas;Suministros
19245000;Tejidos de revestimiento;Suministros
19250000;Tejidos de punto o de ganchillo;Suministros
19251000;Tejidos de punto;Suministros
19251100;Tejidos de terciopelo y felpa;Suministros
19252000;Tejidos de ganchillo;Suministros
19260000;Tela;Suministros
19270000;Materias textiles no tejidas;Suministros
19280000;Lana, cueros y pieles;Suministros
19281000;Lana;Suministros
19282000;Pieles de animal;Suministros
19283000;Pieles y plumas de aves;Suministros
19400000;Hilados e hilos textiles;Suministros
19410000;Fibras textiles naturales;Suministros
19420000;Fibras textiles artificiales;Suministros
19430000;Hilados e hilos textiles de fibras naturales;Suministros
19431000;Hilados de seda;Suministros
19432000;Hilados de lana;Suministros
19433000;Hilados de algodón;Suministros
19434000;Hilados de lino;Suministros
19435000;Hilos e hilados de coser de fibras naturales;Suministros
19435100;Hilo de coser;Suministros
19435200;Hilados para tejer;Suministros
19436000;Hilados de fibras textiles vegetales;Suministros
19440000;Hilados o hilos sintéticos;Suministros
19441000;Hilados sintéticos;Suministros
19442000;Hilos sintéticos;Suministros
19442100;Hilos sintéticos de coser;Suministros
19442200;Hilados sintéticos para tejer;Suministros
19500000;Caucho y plásticos;Suministros
19510000;Productos de caucho;Suministros
19511000;Cámaras de aire, bandas de rodadura y fajas de protección de la cámara de aire, de caucho;Suministros
19511100;Fajas de protección de la cámara de aire del neumático;Suministros
19511200;Cámaras de aire;Suministros
19511300;Bandas de rodadura de neumáticos;Suministros
19512000;Artículos de caucho sin vulcanizar;Suministros
19513000;Tejidos cauchutados;Suministros
19513100;Tejidos para cuerdas de neumáticos;Suministros
19513200;Cinta adhesiva de tejidos cauchutados;Suministros
19514000;Caucho regenerado;Suministros
19520000;Productos de plástico;Suministros
19521000;Productos de poliestireno;Suministros
19521100;Hojas de poliestireno;Suministros
19521200;Losas de poliestireno;Suministros
19522000;Resinas;Suministros
19522100;Resina epoxi;Suministros
19522110;Tubos de resina epoxi;Suministros
19600000;Residuos de cuero, textiles, de caucho y de plástico;Suministros
19610000;Residuos de cuero;Suministros
19620000;Residuos textiles;Suministros
19630000;Residuos de caucho;Suministros
19640000;Sacos y bolsas de polietileno para residuos;Suministros
19700000;Caucho y fibras sintéticos;Suministros
19710000;Caucho sintético;Suministros
19720000;Fibras sintéticas;Suministros
19721000;Borra de filamentos sintéticos;Suministros
19722000;Hilado de alta tenacidad;Suministros
19723000;Hilado texturado sencillo;Suministros
19724000;Monofilamento sintético;Suministros
19730000;Fibras artificiales;Suministros
19731000;Fibras artificiales discontinuas;Suministros
19732000;Polipropileno;Suministros
19733000;Hilado texturado artificial;Suministros
22000000;Impresos y productos relacionados;Suministros
22100000;Libros impresos, folletos y prospectos;Suministros
22110000;Libros impresos;Suministros
22111000;Libros escolares;Suministros
22112000;Libros de texto;Suministros
22113000;Libros para biblioteca;Suministros
22114000;Diccionarios, mapas, libros de música y otros libros;Suministros
22114100;Diccionarios;Suministros
22114200;Atlas;Suministros
22114300;Mapas;Suministros
22114310;Mapas catastrales;Suministros
22114311;Cianotipos;Suministros
22114400;Música impresa;Suministros
22114500;Enciclopedias;Suministros
22120000;Publicaciones;Suministros
22121000;Publicaciones técnicas;Suministros
22130000;Guías;Suministros
22140000;Prospectos;Suministros
22150000;Folletos;Suministros
22160000;Opúsculos;Suministros
22200000;Periódicos, revistas especializadas, publicaciones periódicas y revistas;Suministros
22210000;Periódicos;Suministros
22211000;Revistas especializadas;Suministros
22211100;Boletines oficiales;Suministros
22212000;Publicaciones periódicas;Suministros
22212100;Publicaciones por entregas;Suministros
22213000;Revistas;Suministros
22300000;Tarjetas postales, tarjetas de felicitación y otro material impreso;Suministros
22310000;Tarjetas postales;Suministros
22312000;Ilustraciones;Suministros
22313000;Calcomanías;Suministros
22314000;Diseños;Suministros
22315000;Fotografías;Suministros
22320000;Tarjetas de felicitación;Suministros
22321000;Tarjetas de Navidad;Suministros
22400000;Sellos, talonarios de cheques, billetes de banco, certificados de acciones, material de publicidad comercial, catálogos y manuales;Suministros
22410000;Sellos;Suministros
22411000;Sellos de Navidad;Suministros
22412000;Sellos nuevos;Suministros
22413000;Sellos de ahorro;Suministros
22414000;Cuadernillos de sellos de correos;Suministros
22420000;Papel timbrado;Suministros
22430000;Billetes de banco;Suministros
22440000;Talonarios de cheques;Suministros
22450000;Impresos infalsificables;Suministros
22451000;Pasaportes;Suministros
22452000;Giros postales;Suministros
22453000;Pegatinas del impuesto de circulación;Suministros
22454000;Permisos de conducir;Suministros
22455000;Carnés de identidad;Suministros
22455100;Pulseras de identificación;Suministros
22456000;Permisos;Suministros
22457000;Tarjetas de entrada;Suministros
22458000;Impresos por encargo;Suministros
22459000;Billetes;Suministros
22459100;Tiras y adhesivos publicitarios;Suministros
22460000;Material de publicidad comercial, catálogos comerciales y manuales;Suministros
22461000;Catálogos;Suministros
22461100;Portalistas, portamenús y soportes análogos;Suministros
22462000;Material de publicidad;Suministros
22470000;Manuales;Suministros
22471000;Manuales informáticos;Suministros
22472000;Manuales de instrucciones;Suministros
22473000;Manuales técnicos;Suministros
22500000;Clisés o cilindros de imprenta u otros medios de impresión;Suministros
22510000;Planchas offset;Suministros
22520000;Equipo de grabado en seco;Suministros
22521000;Equipo de estampado en relieve;Suministros
22600000;Tinta;Suministros
22610000;Tinta de imprenta;Suministros
22611000;Tinta para huecograbado;Suministros
22612000;Tinta china;Suministros
22800000;Libros registro, libros de contabilidad, clasificadores, impresos y otros artículos de papelería, de papel o cartón;Suministros
22810000;Libros registro de papel o cartón;Suministros
22813000;Libros de contabilidad;Suministros
22814000;Talonarios de recibos;Suministros
22815000;Talonarios de notas;Suministros
22816000;Blocs;Suministros
22816100;Blocs de notas;Suministros
22816200;Cuadernos de taquigrafía;Suministros
22816300;Blocs de hojas adhesivas;Suministros
22817000;Agendas u organizadores personales;Suministros
22819000;Libros de direcciones;Suministros
22820000;Formularios;Suministros
22821000;Formularios electorales;Suministros
22822000;Formularios comerciales;Suministros
22822100;Formularios comerciales de papel continuo;Suministros
22822200;Formularios comerciales en hojas sueltas;Suministros
22830000;Cuadernos de ejercicios;Suministros
22831000;Recambios para cuadernos escolares;Suministros
22832000;Hojas para ejercicios;Suministros
22840000;Álbumes para muestras;Suministros
22841000;Álbumes para colecciones;Suministros
22841100;Libros de sellos;Suministros
22841200;Clasificadores para filatelia;Suministros
22850000;Clasificadores y accesorios para clasificadores;Suministros
22851000;Clasificadores;Suministros
22852000;Carpetas;Suministros
22852100;Cubiertas para documentos;Suministros
22853000;Archivadores, bandejas portadocumentos y otros soportes análogos;Suministros
22900000;Impresos varios;Suministros
22990000;Papel de periódico, papeles fabricados a mano y otros papeles y cartones sin recubrir, para usos gráficos;Suministros
22991000;Papel prensa;Suministros
22992000;Papel o cartón hecho a mano;Suministros
22993000;Papel y cartón fotosensibles, termosensibles o termográficos;Suministros
22993100;Papel o cartón fotosensible;Suministros
22993200;Papel o cartón termosensible;Suministros
22993300;Papel o cartón termográfico;Suministros
22993400;Papel o cartón ondulado;Suministros
24000000;Productos químicos;Suministros
24100000;Gases;Suministros
24110000;Gases industriales;Suministros
24111000;Hidrógeno, argón, gases nobles, nitrógeno y oxígeno;Suministros
24111100;Argón;Suministros
24111200;Gases nobles;Suministros
24111300;Helio;Suministros
24111400;Neón;Suministros
24111500;Gases medicinales;Suministros
24111600;Hidrógeno;Suministros
24111700;Nitrógeno;Suministros
24111800;Nitrógeno líquido;Suministros
24111900;Oxígeno;Suministros
24112000;Compuestos oxigenados inorgánicos;Suministros
24112100;Dióxido de carbono;Suministros
24112200;Óxidos de nitrógeno;Suministros
24112300;Compuestos oxigenados inorgánicos gaseosos;Suministros
24113000;Aire líquido y aire comprimido;Suministros
24113100;Aire líquido;Suministros
24113200;Aire comprimido;Suministros
24200000;Tintes y pigmentos;Suministros
24210000;Óxidos, peróxidos e hidróxidos;Suministros
24211000;"Óxido y peróxido de zinc; óxido de titanio, tintes y pigmentos";Suministros
24211100;Óxido de zinc;Suministros
24211200;Peróxido de zinc;Suministros
24211300;Óxido de titanio;Suministros
24212000;Óxidos e hidróxidos de cromo, de manganeso, de magnesio, de plomo y de cobre;Suministros
24212100;Óxido de cromo;Suministros
24212200;Óxido de manganeso;Suministros
24212300;Óxido de plomo;Suministros
24212400;Óxido de cobre;Suministros
24212500;Óxido de magnesio;Suministros
24212600;Hidróxidos para tintes y pigmentos;Suministros
24212610;Hidróxido de cromo;Suministros
24212620;Hidróxido de manganeso;Suministros
24212630;Hidróxido de plomo;Suministros
24212640;Hidróxido de cobre;Suministros
24212650;Hidróxido de magnesio;Suministros
24213000;Cal apagada;Suministros
24220000;"Extractos curtientes o tintóreos; taninos y materias colorantes";Suministros
24221000;Extractos tintóreos;Suministros
24222000;Extractos curtientes;Suministros
24223000;Taninos;Suministros
24224000;Materias colorantes;Suministros
24225000;Preparados curtientes;Suministros
24300000;Productos químicos inorgánicos y orgánicos básicos;Suministros
24310000;Productos químicos inorgánicos básicos;Suministros
24311000;Elementos químicos, ácidos inorgánicos y sus compuestos;Suministros
24311100;Metaloides;Suministros
24311110;Fosfuros;Suministros
24311120;Carburos;Suministros
24311130;Hidruros;Suministros
24311140;Nitruros;Suministros
24311150;Aziduros (azidas);Suministros
24311160;Siliciuros;Suministros
24311170;Boruros;Suministros
24311180;Azufre refinado;Suministros
24311200;Halógeno;Suministros
24311300;Metales alcalinos;Suministros
24311310;Mercurio;Suministros
24311400;"Cloruro de hidrógeno, ácidos inorgánicos; dióxido de silicio y dióxido de azufre";Suministros
24311410;Ácidos inorgánicos;Suministros
24311411;Ácido sulfúrico;Suministros
24311420;Ácido fosfórico;Suministros
24311430;Ácidos polifosfóricos;Suministros
24311440;Ácido hexafluorosilícico;Suministros
24311450;Dióxido de azufre;Suministros
24311460;Dióxido de silicio;Suministros
24311470;Cloruro de hidrógeno;Suministros
24311500;Hidróxidos en forma de sustancias químicas inorgánicas básicas;Suministros
24311510;Óxidos metálicos;Suministros
24311511;Piritas de hierro y óxidos de hierro;Suministros
24311520;Hidróxido de sodio;Suministros
24311521;Sosa cáustica;Suministros
24311522;Lejía de sosa cáustica;Suministros
24311600;Compuestos de azufre;Suministros
24311700;Azufre;Suministros
24311800;Carbono;Suministros
24311900;Cloro;Suministros
24312000;"Halogenatos metálicos; hipocloritos, cloratos y percloratos";Suministros
24312100;Halogenatos metálicos;Suministros
24312110;Hexafluorosilicato de sodio;Suministros
24312120;Cloruros;Suministros
24312121;Cloruro de aluminio;Suministros
24312122;Cloruro férrico;Suministros
24312123;Policloruro de aluminio;Suministros
24312130;Clorhidrato de aluminio;Suministros
24312200;Hipocloritos y cloratos;Suministros
24312210;Clorito de sodio;Suministros
24312220;Hipoclorito de sodio;Suministros
24313000;"Sulfuros, sulfatos; nitratos, fosfatos y carbonatos";Suministros
24313100;Sulfuros, sulfitos y sulfatos;Suministros
24313110;Sulfuros diversos;Suministros
24313111;Sulfuro de hidrógeno;Suministros
24313112;Polisulfuros;Suministros
24313120;Sulfatos;Suministros
24313121;Tiosulfato de sodio;Suministros
24313122;Sulfato férrico;Suministros
24313123;Sulfato de aluminio;Suministros
24313124;Sulfato de sodio;Suministros
24313125;Sulfato de hierro;Suministros
24313126;Sulfato de cobre;Suministros
24313200;Fosfinatos, fosfonatos, fosfatos y polifosfatos;Suministros
24313210;Hexametafosfato de sodio;Suministros
24313220;Fosfatos;Suministros
24313300;Carbonatos;Suministros
24313310;Carbonato de sodio;Suministros
24313320;Bicarbonato de sodio;Suministros
24313400;Nitratos;Suministros
24314000;Sales metálicas de ácidos diversas;Suministros
24314100;Permanganato potásico;Suministros
24314200;Sales de ácidos oxometálicos;Suministros
24315000;Productos químicos inorgánicos diversos;Suministros
24315100;Agua pesada, otros isótopos y sus compuestos;Suministros
24315200;Cianuros, oxicianuros, fulminatos, cianatos, silicatos, boratos, perboratos, sales de ácidos inorgánicos;Suministros
24315210;Cianuros;Suministros
24315220;Oxicianuro;Suministros
24315230;Fulminatos;Suministros
24315240;Cianatos;Suministros
24315300;Peróxido de hidrógeno;Suministros
24315400;Cuarzo piezoeléctrico;Suministros
24315500;Compuestos de metales del grupo de las tierras raras;Suministros
24315600;Silicatos;Suministros
24315610;Silicato de sodio;Suministros
24315700;Boratos y perboratos;Suministros
24316000;Agua destilada;Suministros
24317000;Piedras sintéticas;Suministros
24317100;Piedras preciosas sintéticas;Suministros
24317200;Piedras semipreciosas sintéticas;Suministros
24320000;Productos químicos orgánicos básicos;Suministros
24321000;Hidrocarburos;Suministros
24321100;Hidrocarburos saturados;Suministros
24321110;Hidrocarburos acíclicos saturados;Suministros
24321111;Metano;Suministros
24321112;Etileno;Suministros
24321113;Propeno;Suministros
24321114;Buteno;Suministros
24321115;Acetileno;Suministros
24321120;Hidrocarburos cíclicos saturados;Suministros
24321200;Hidrocarburos no saturados;Suministros
24321210;Hidrocarburos acíclicos no saturados;Suministros
24321220;Hidrocarburos cíclicos no saturados;Suministros
24321221;Benceno;Suministros
24321222;Tolueno;Suministros
24321223;O Xilenos;Suministros
24321224;M Xilenos;Suministros
24321225;Estireno;Suministros
24321226;Etilbenceno;Suministros
24321300;Otros derivados halogenados de hidrocarburos;Suministros
24321310;Tetracloroetileno;Suministros
24321320;Tetracloruro de carbono;Suministros
24322000;"Alcoholes, fenoles, alcoholes fenólicos y sus derivados halogenados, sulfonados, nitrados o nitrosados; alcoholes grasos industriales";Suministros
24322100;Alcoholes grasos industriales;Suministros
24322200;Monoalcoholes;Suministros
24322210;Metanol;Suministros
24322220;Etanol;Suministros
24322300;Dioles, polialcoholes y sus derivados;Suministros
24322310;Etilenglicol;Suministros
24322320;Derivados de alcoholes;Suministros
24322400;Fenoles y sus derivados;Suministros
24322500;Alcohol;Suministros
24322510;Alcohol etílico;Suministros
24323000;Ácidos grasos monocarboxílicos industriales;Suministros
24323100;Aceites ácidos de refinado;Suministros
24323200;Ácidos carboxílicos;Suministros
24323210;Ácido acético;Suministros
24323220;Ácido peracético;Suministros
24323300;Ácidos monocarboxílicos insaturados y sus compuestos;Suministros
24323310;Ésteres de ácido metacrílico;Suministros
24323320;Ésteres de ácido acrílico;Suministros
24323400;Ácidos aromáticos policarboxílicos y carboxílicos;Suministros
24324000;Compuestos orgánicos con funciones nitrogenadas;Suministros
24324100;Compuestos con función amina;Suministros
24324200;Compuestos aminados con funciones oxigenadas;Suministros
24324300;Ureínas;Suministros
24324400;Compuestos con funciones nitrogenadas;Suministros
24325000;Tiocompuestos orgánicos;Suministros
24326000;Aldehído, cetona, peróxidos orgánicos y éteres;Suministros
24326100;Compuestos con función aldehído;Suministros
24326200;Compuestos con función cetona y quinona;Suministros
24326300;Peróxidos orgánicos;Suministros
24326310;Óxido de etileno;Suministros
24326320;Éteres;Suministros
24327000;Productos químicos orgánicos diversos;Suministros
24327100;Derivados vegetales para teñido;Suministros
24327200;Carbón vegetal;Suministros
24327300;Aceites y productos de la destilación del alquitrán de hulla a alta temperatura, brea y alquitrán de brea;Suministros
24327310;Alquitrán de hulla;Suministros
24327311;Creosota;Suministros
24327320;Brea;Suministros
24327330;Alquitrán de brea;Suministros
24327400;Productos de resina;Suministros
24327500;Lejías residuales de la fabricación de pasta de madera;Suministros
24400000;Abonos y compuestos nitrogenados;Suministros
24410000;Abonos nitrogenados;Suministros
24411000;Ácido nítrico y sus sales;Suministros
24411100;Nitrato de sodio;Suministros
24412000;Ácidos sulfonítricos;Suministros
24413000;Amoníaco;Suministros
24413100;Amoníaco líquido;Suministros
24413200;Cloruro amónico;Suministros
24413300;Sulfato amónico;Suministros
24420000;Abonos fosfatados;Suministros
24421000;Abonos minerales fosfatados;Suministros
24422000;Abonos químicos fosfatados;Suministros
24430000;Abonos de origen animal o vegetal;Suministros
24440000;Abonos diversos;Suministros
24450000;Productos agroquímicos;Suministros
24451000;Pesticidas;Suministros
24452000;Insecticidas;Suministros
24453000;Herbicidas;Suministros
24454000;Reguladores del crecimiento de las plantas;Suministros
24455000;Desinfectantes;Suministros
24456000;Rodenticidas;Suministros
24457000;Fungicidas;Suministros
24500000;Materias plásticas en formas primarias;Suministros
24510000;Polímeros de etileno en formas primarias;Suministros
24520000;Polímeros de propileno en formas primarias;Suministros
24530000;Polímeros de estireno en formas primarias;Suministros
24540000;Polímeros de vinilo en formas primarias;Suministros
24541000;Polímeros de acetato de vinilo en formas primarias;Suministros
24542000;Polímeros acrílicos en formas primarias;Suministros
24550000;Poliésteres en formas primarias;Suministros
24560000;Poliamidas en formas primarias;Suministros
24570000;Resinas ureicas en formas primarias;Suministros
24580000;Resinas amínicas en formas primarias;Suministros
24590000;Siliconas en formas primarias;Suministros
24600000;Explosivos;Suministros
24610000;Explosivos preparados;Suministros
24611000;Pólvoras de carga de proyección;Suministros
24611100;Propergoles, combustibles;Suministros
24612000;Explosivos diversos;Suministros
24612100;Dinamita;Suministros
24612200;TNT;Suministros
24612300;Nitroglicerina;Suministros
24613000;Cohetes de señales, cohetes granífugos, señales para la niebla y artículos de pirotecnia;Suministros
24613100;Cartuchos para espantar pájaros;Suministros
24613200;Fuegos artificiales;Suministros
24615000;Mechas, cápsulas, inflamadores y detonadores eléctricos;Suministros
24900000;Productos químicos puros y otros productos químicos;Suministros
24910000;Colas;Suministros
24911000;Gelatinas;Suministros
24911200;Adhesivos;Suministros
24920000;Aceites esenciales;Suministros
24930000;Productos químicos para fotografía;Suministros
24931000;Placas y películas fotográficas;Suministros
24931200;Emulsiones para uso fotográfico;Suministros
24931210;Reveladores fotográficos;Suministros
24931220;Fijadores fotográficos;Suministros
24931230;Reveladores para radiografías;Suministros
24931240;Fijadores para radiografías;Suministros
24931250;Medios de cultivo;Suministros
24931260;Intensificadores de imagen;Suministros
24950000;Productos químicos para fines específicos;Suministros
24951000;Grasas y lubricantes;Suministros
24951100;Lubricantes;Suministros
24951110;Lodo de perforación;Suministros
24951120;Grasa de silicio;Suministros
24951130;Fluidos de perforación;Suministros
24951200;Aditivos para aceites;Suministros
24951210;Polvo para extintores de incendios;Suministros
24951220;Agentes para extintores de incendios;Suministros
24951230;Cargas para extintores de incendios;Suministros
24951300;Fluidos hidráulicos;Suministros
24951310;Agentes para descongelar;Suministros
24951311;Preparaciones anticongelantes;Suministros
24951400;Grasas y aceites químicamente modificados;Suministros
24952000;Pastas para modelar;Suministros
24952100;Cera dental;Suministros
24953000;Agentes de acabado;Suministros
24954000;Carbón activado;Suministros
24954100;Carbón activado nuevo;Suministros
24954200;Carbón activado regenerado;Suministros
24955000;Recipientes inodoros de sustancias químicas;Suministros
24956000;Peptonas y sustancias proteicas;Suministros
24957000;Aditivos químicos;Suministros
24957100;Preparaciones aglutinantes para moldes o núcleos de fundición;Suministros
24957200;Aditivos para cemento, mortero u hormigón;Suministros
24958000;Productos químicos para la industria del petróleo y del gas;Suministros
24958100;Productos químicos para fondo de pozo;Suministros
24958200;Agentes floculantes;Suministros
24958300;Productos químicos para lodos;Suministros
24958400;Ampollas de gel para atraque de explosivos;Suministros
24959000;Aerosoles y productos químicos en forma de disco;Suministros
24959100;Aerosoles;Suministros
24959200;Elementos químicos en forma de disco;Suministros
24960000;Productos químicos diversos;Suministros
24961000;Fluidos para radiador;Suministros
24962000;Productos químicos para tratamiento del agua;Suministros
24963000;Productos anticorrosión;Suministros
24964000;Glicerol;Suministros
24965000;Enzimas;Suministros
30000000;Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software;Suministros
30100000;Máquinas, equipo y artículos de oficina, excepto ordenadores, impresoras y mobiliario;Suministros
30110000;Máquinas de tratamiento de textos;Suministros
30111000;Procesadores de texto;Suministros
30120000;Fotocopiadoras, máquinas offset e impresoras;Suministros
30121000;Fotocopiadoras y aparatos termocopiadores;Suministros
30121100;Fotocopiadoras;Suministros
30121200;Equipo de fotocopiado;Suministros
30121300;Equipo de reproducción;Suministros
30121400;Máquinas de sacar copias;Suministros
30121410;Conmutadores teléfono fax;Suministros
30121420;Escáneres digitales con sistema de envío;Suministros
30121430;Duplicadores digitales;Suministros
30122000;Impresoras offset del tipo de las de oficina;Suministros
30122100;Sistemas de impresión offset digital;Suministros
30122200;Equipos de impresión offset digital;Suministros
30123000;Máquinas de oficina;Suministros
30123100;Máquinas para validación de billetes;Suministros
30123200;Cajeros automáticos;Suministros
30123300;Multicopistas;Suministros
30123400;Máquinas de plegado;Suministros
30123500;Perforadoras;Suministros
30123600;Máquinas para la manipulación de monedas;Suministros
30123610;Máquinas para clasificar monedas;Suministros
30123620;Máquinas para contar monedas;Suministros
30123630;Máquinas para empaquetar monedas;Suministros
30124000;Partes y accesorios de máquinas de oficina;Suministros
30124100;Fusores;Suministros
30124110;Aceite para fusores;Suministros
30124120;Fieltro limpiador del fusor;Suministros
30124130;Lámparas del fusor;Suministros
30124140;Almohadilla de limpieza del fusor;Suministros
30124150;Filtros de fusor;Suministros
30124200;Kits del fusor;Suministros
30124300;Tambores de máquinas de oficina;Suministros
30124400;Cartuchos de grapas;Suministros
30124500;Accesorios para escáner;Suministros
30124510;Endosadores para escáner;Suministros
30124520;Alimentadores de documentos para escáner;Suministros
30124530;Adaptadores de transparencias para escáner;Suministros
30125000;Partes y accesorios de fotocopiadoras;Suministros
30125100;Cartuchos de tóner;Suministros
30125110;Tóner para faxes e impresoras láser;Suministros
30125120;Tóner para fotocopiadoras;Suministros
30125130;Tóner para centros de proceso de datos y centros de investigación y documentación;Suministros
30130000;Equipo para oficinas de correos;Suministros
30131000;Equipo para procesamiento de correspondencia;Suministros
30131100;Máquinas para doblado de papel o sobres;Suministros
30131200;Máquinas para rellenado de sobres;Suministros
30131300;Máquinas para impresión de direcciones;Suministros
30131400;Máquinas para franqueo;Suministros
30131500;Máquinas abrecartas;Suministros
30131600;Máquinas para cerrar el correo;Suministros
30131700;Máquinas de matasellar;Suministros
30131800;Máquinas pegadoras de sellos;Suministros
30132000;Equipo para clasificación;Suministros
30132100;Equipo para clasificación de correspondencia;Suministros
30132200;Máquinas contadoras de billetes;Suministros
30132300;Clasificadoras;Suministros
30133000;Equipo para envío de correspondencia;Suministros
